datetime,outflow,inflow
2013-01-21,0.1388429749728,0.53752066025184
2013-01-22,0.1884297517488,0.4066115695632
2013-01-23,0.19239669389088,0.93619834553088
2013-01-24,0.18049586746464,0.59305785024096
2013-01-25,0.2380165285248,0.26380165244832
2013-01-26,0.1785123963936,0.71801652771648
2013-01-27,0.1388429749728,0.38479338778176
2013-01-28,0.1388429749728,0.37289256135552
2013-01-29,0.18049586746464,0.59305785024096
2013-01-30,0.2380165285248,0.099173553552
2013-01-31,0.17652892532255998,0.24198347066688
2013-02-01,0.1388429749728,0.23008264424063998
2013-02-02,0.1388429749728,0.396694214208
2013-02-03,0.1884297517488,0.58115702381472
2013-02-04,0.17454545425152,-0.12694214854656
2013-02-05,0.1388429749728,0.5434710734649599
2013-02-06,0.1388429749728,0.00396694214208
2013-02-07,0.23999999959583998,0.83702479197888
2013-02-08,0.3173553713664,-0.20033057817504
2013-02-09,0.29355371851392,0.75570247806624
2013-02-10,0.2578512392352,0.00198347107104
2013-02-11,0.20429752031712,0.09123966926784
2013-02-12,0.1388429749728,0.44429751991295996
2013-02-13,0.20429752031712,0.26181818137727997
2013-02-14,0.2380165285248,-0.42247933813152
2013-02-15,0.2380165285248,0.70016528807712
2013-02-16,0.2380165285248,0.49586776775999997
2013-02-17,0.2380165285248,-0.041652892491839996
2013-02-18,0.1785123963936,0.4264462802736
2013-02-19,0.1388429749728,-0.8489256184051199
2013-02-20,0.1388429749728,0.71206611450336
2013-02-21,0.20628099138816,0.42049586706048
2013-02-22,0.2380165285248,0.49785123883104
2013-02-23,0.2380165285248,-0.21024793353024
2013-02-24,0.2380165285248,0.19636363603296
2013-02-25,0.2380165285248,0.55338842882016
2013-02-26,0.27371900780352,-0.01785123963936
2013-02-27,0.32925619779264,0.28561983422976
2013-02-28,0.30545454494016,-0.0198347107104
2013-03-01,0.35305785064511996,0.06743801641536
2013-03-02,0.3768595034976,0.28363636315872
2013-03-03,0.4363636356288,0.48595041240479997
2013-03-04,0.51768594954144,0.26975206566144
2013-03-05,0.5355371891808,0.1190082642624
2013-03-06,0.5355371891808,0.6347107427328
