datetime,FOL_INFLOW_TAF
2016-03-31,701.5239657607824
2016-04-30,341.3771895077654
2016-05-31,290.5190077752288
2016-06-30,157.20198320634623
2016-07-31,103.75735519717344
2016-08-31,93.4512395120496
2016-09-30,73.1504130999552
2016-10-31,123.91140475001087
2016-11-30,164.1719005499808
2016-12-31,555.6674370807849
2017-01-31,1376.5249563596178
2017-02-28,1956.247930589976
2017-03-31,696.7061145292262
2017-04-30,858.6089241739372
2017-05-31,854.0707423633977
2017-06-30,460.19504054734557
2017-07-31,187.44198315542207
2017-08-31,143.02214851948128
2017-09-30,115.62842955734784
2017-10-31,63.322313942952
2017-11-30,193.83272694631296
2017-12-31,154.016528666256
2018-01-31,205.83867733931808
2018-02-28,106.31603287881504
2018-03-31,552.7120651849353
2018-04-30,560.9097511215436
2018-05-31,257.62710700417244
